date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
08:23:31	3702/3702	---MCZ	200	added ('OK')	text/html	date:Sat,%2027%20Jul%202019%2002:56:12%20GMT	http://demo.themewagon.com/preview/free-bootstrap-4-html5-real-estate-website-template-royal-estate	C:/Users/Aman/Desktop/web%20app/erent/demo.themewagon.com/preview/free-bootstrap-4-html5-real-estate-website-template-royal-estate.html	(from )
08:23:32	0/0	---MC-	302	error ('Found')	text/html	date:Sat,%2027%20Jul%202019%2002:56:13%20GMT	http://demo.themewagon.com/robots.txt		(from )
08:23:32	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202019%2002:56:14%20GMT	http://themewagon.com/wp-content/themes/wagoncore/css/demo.css	C:/Users/Aman/Desktop/web%20app/erent/themewagon.com/wp-content/themes/wagoncore/css/demo.1.delayed	(from http://demo.themewagon.com/preview/free-bootstrap-4-html5-real-estate-website-template-royal-estate)
08:23:33	6928/6928	---M--	200	added ('OK')	text/css	etag:%225881ee7c-1b10%22	https://themewagon.com/wp-content/themes/wagoncore/css/demo.css	C:/Users/Aman/Desktop/web%20app/erent/themewagon.com/wp-content/themes/wagoncore/css/demo.css	(from http://demo.themewagon.com/preview/free-bootstrap-4-html5-real-estate-website-template-royal-estate)
08:23:34	20145/20145	---M--	200	added ('OK')	image/png	etag:%225881ee7c-4eb1%22	https://themewagon.com/wp-content/themes/wagoncore/img/logo-demo.png	C:/Users/Aman/Desktop/web%20app/erent/themewagon.com/wp-content/themes/wagoncore/img/logo-demo.png	(from http://demo.themewagon.com/preview/free-bootstrap-4-html5-real-estate-website-template-royal-estate)
08:23:34	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202019%2002:56:15%20GMT	http://themewagon.com/wp-content/themes/wagoncore/img/download.png	C:/Users/Aman/Desktop/web%20app/erent/themewagon.com/wp-content/themes/wagoncore/img/download.png	(from http://demo.themewagon.com/preview/free-bootstrap-4-html5-real-estate-website-template-royal-estate)
08:23:34	425/425	---M--	200	added ('OK')	image/png	etag:%225881ee7c-1a9%22	https://themewagon.com/wp-content/themes/wagoncore/img/download.png	C:/Users/Aman/Desktop/web%20app/erent/themewagon.com/wp-content/themes/wagoncore/img/download.png	(from http://demo.themewagon.com/preview/free-bootstrap-4-html5-real-estate-website-template-royal-estate)
08:23:35	193/193	---M--	301	error ('Moved%20Permanently')	text/html	date:Sat,%2027%20Jul%202019%2002:56:16%20GMT	http://themewagon.com/wp-content/themes/wagoncore/img/cross.png	C:/Users/Aman/Desktop/web%20app/erent/themewagon.com/wp-content/themes/wagoncore/img/cross.png	(from http://demo.themewagon.com/preview/free-bootstrap-4-html5-real-estate-website-template-royal-estate)
08:23:35	2892/2892	---M--	200	added ('OK')	image/png	etag:%225881ee7c-b4c%22	https://themewagon.com/wp-content/themes/wagoncore/img/cross.png	C:/Users/Aman/Desktop/web%20app/erent/themewagon.com/wp-content/themes/wagoncore/img/cross.png	(from http://demo.themewagon.com/preview/free-bootstrap-4-html5-real-estate-website-template-royal-estate)
08:23:36	95931/95931	---MC-	200	added ('OK')	text/javascript	date:Tue,%2020%20Dec%202016%2018:17:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	C:/Users/Aman/Desktop/web%20app/erent/ajax.googleapis.com/ajax/libs/jquery/1.11.2/jquery.min.js	(from http://demo.themewagon.com/preview/free-bootstrap-4-html5-real-estate-website-template-royal-estate)
08:23:39	44287/44287	---MC-	200	added ('OK')	text/javascript	date:Thu,%2020%20Jun%202019%2021:35:04%20GMT	http://www.google-analytics.com/analytics.js	C:/Users/Aman/Desktop/web%20app/erent/www.google-analytics.com/analytics.js	(from http://demo.themewagon.com/preview/free-bootstrap-4-html5-real-estate-website-template-royal-estate)
08:23:39	21371/21371	---M--	200	added ('OK')	image/png	etag:%225881ee7c-537b%22	https://themewagon.com/wp-content/themes/wagoncore/img/bg.png	C:/Users/Aman/Desktop/web%20app/erent/themewagon.com/wp-content/themes/wagoncore/img/bg.png	(from https://themewagon.com/wp-content/themes/wagoncore/css/demo.css)
08:23:39	3052/3052	---M--	200	added ('OK')	image/png	etag:%225881ee7c-bec%22	https://themewagon.com/wp-content/themes/wagoncore/img/devices.png	C:/Users/Aman/Desktop/web%20app/erent/themewagon.com/wp-content/themes/wagoncore/img/devices.png	(from https://themewagon.com/wp-content/themes/wagoncore/css/demo.css)
